Date,State,Total Confirmed Cases,Cured/Discharged/Migrated,Death
21-04-2020,Punjab,245,39,16
21-04-2020,Bihar,114,42,2
21-04-2020,Odisha,74,24,1
21-04-2020,Jharkhand,46,0,2
21-04-2020,Uttarakhand,46,18,0
21-04-2020,Himachal Pradesh,39,16,1
21-04-2020,Chhattisgarh,36,25,0
21-04-2020,Assam,35,19,1
21-04-2020,Chandigarh,26,13,0
21-04-2020,Ladakh,18,14,0
21-04-2020,Andaman and Nicobar Islands,16,11,0
21-04-2020,Meghalaya,11,0,1
21-04-2020,Goa,7,7,0
21-04-2020,Puducherry,7,3,0
21-04-2020,Manipur,2,2,0
21-04-2020,Tripura,2,1,0
21-04-2020,Arunachal Pradesh,1,1,0
21-04-2020,Mizoram,1,0,0
21-04-2020,Nagaland,0,0,0
22-04-2020,Maharashtra,5221,722,251
22-04-2020,Gujarat,2272,144,95
22-04-2020,Delhi,2156,611,47
22-04-2020,Rajasthan,1801,230,25
22-04-2020,Tamil Nadu,1596,635,18
22-04-2020,Madhya Pradesh,1592,148,80
22-04-2020,Uttar Pradesh,1412,165,21
22-04-2020,Telangana,945,194,23
22-04-2020,Andhra Pradesh,813,120,24
22-04-2020,Kerala,427,323,3
22-04-2020,Karnataka,425,129,17
22-04-2020,West Bengal,423,73,15
22-04-2020,Jammu and Kashmir,380,81,5
22-04-2020,Haryana,254,127,3
22-04-2020,Punjab,251,49,16
22-04-2020,Bihar,126,46,2
22-04-2020,Odisha,82,30,1
22-04-2020,Uttarakhand,46,19,0
22-04-2020,Jharkhand,45,0,3
22-04-2020,Himachal Pradesh,39,16,1
22-04-2020,Chhattisgarh,36,26,0
22-04-2020,Assam,35,19,1
22-04-2020,Chandigarh,27,14,0
22-04-2020,Ladakh,18,14,0
22-04-2020,Andaman and Nicobar Islands,17,11,0
22-04-2020,Meghalaya,12,0,1
22-04-2020,Puducherry,7,3,0
22-04-2020,Goa,7,7,0
22-04-2020,Manipur,2,2,0
22-04-2020,Tripura,2,1,0
22-04-2020,Mizoram,1,0,0
22-04-2020,Arunachal Pradesh,1,1,0
23-04-2020,Maharashtra,5652,789,269
23-04-2020,Gujarat,2407,179,103
23-04-2020,Delhi,2248,724,48
23-04-2020,Rajasthan,1890,230,27
23-04-2020,Madhya Pradesh,1695,148,81
23-04-2020,Tamil Nadu,1629,662,18
23-04-2020,Uttar Pradesh,1509,187,21
23-04-2020,Telangana,960,197,24
23-04-2020,Andhra Pradesh,895,141,27
23-04-2020,West Bengal,456,79,15
23-04-2020,Karnataka,443,141,17
23-04-2020,Kerala,438,324,3
23-04-2020,Jammu and Kashmir,407,92,5
23-04-2020,Punjab,277,65,16
23-04-2020,Haryana,262,140,3
23-04-2020,Bihar,148,46,2
23-04-2020,Odisha,83,32,1
23-04-2020,Jharkhand,49,8,3
23-04-2020,Uttarakhand,46,23,0
23-04-2020,Himachal Pradesh,40,18,1
23-04-2020,Chhattisgarh,36,28,0
23-04-2020,Assam,35,19,1
23-04-2020,Chandigarh,27,14,0
23-04-2020,Andaman and Nicobar Islands,18,11,0
23-04-2020,Ladakh,18,14,0
23-04-2020,Meghalaya,12,0,1
23-04-2020,Puducherry,7,3,0
23-04-2020,Goa,7,7,0
23-04-2020,Manipur,2,2,0
23-04-2020,Tripura,2,1,0
23-04-2020,Mizoram,1,0,0
23-04-2020,Arunachal Pradesh,1,1,0
24-04-2020,Maharashtra,6430,840,283
24-04-2020,Gujarat,2624,258,112
24-04-2020,Delhi,2376,808,50
24-04-2020,Rajasthan,1964,230,27
24-04-2020,Madhya Pradesh,1852,203,83
24-04-2020,Tamil Nadu,1683,752,20
24-04-2020,Uttar Pradesh,1604,206,24
24-04-2020,Telangana,984,253,26
24-04-2020,Andhra Pradesh,955,145,29
24-04-2020,West Bengal,514,103,15
24-04-2020,Karnataka,463,150,18
24-04-2020,Kerala,448,324,3
24-04-2020,Jammu and Kashmir,427,92,5
24-04-2020,Punjab,277,65,16
24-04-2020,Haryana,272,156,3
24-04-2020,Bihar,176,46,2
24-04-2020,Odisha,90,33,1
24-04-2020,Jharkhand,55,8,3
24-04-2020,Uttarakhand,47,24,0
24-04-2020,Himachal Pradesh,40,18,1
24-04-2020,Chhattisgarh,36,28,0
24-04-2020,Assam,36,19,1
24-04-2020,Chandigarh,27,14,0
24-04-2020,Andaman and Nicobar Islands,22,11,0
24-04-2020,Ladakh,18,14,0
24-04-2020,Meghalaya,12,0,1
24-04-2020,Puducherry,7,3,0
24-04-2020,Goa,7,7,0
24-04-2020,Manipur,2,2,0
24-04-2020,Tripura,2,1,0
24-04-2020,Mizoram,1,0,0
24-04-2020,Arunachal Pradesh,1,1,0
25-04-2020,Maharashtra,6817,957,301
25-04-2020,Gujarat,2815,265,127
25-04-2020,Delhi,2514,857,53
25-04-2020,Rajasthan,2034,230,27
25-04-2020,Madhya Pradesh,1952,210,92
25-04-2020,Uttar Pradesh,1778,248,26
25-04-2020,Tamil Nadu,1755,866,22
25-04-2020,Andhra Pradesh,1061,171,31
25-04-2020,Telangana,984,253,26
25-04-2020,West Bengal,571,103,18
25-04-2020,Karnataka,489,153,18
25-04-2020,Jammu and Kashmir,454,109,5
25-04-2020,Kerala,451,331,4
25-04-2020,Punjab,298,67,17
25-04-2020,Haryana,272,156,3
25-04-2020,Bihar,228,46,2
25-04-2020,Odisha,94,33,1
25-04-2020,Jharkhand,59,9,3
25-04-2020,Uttarakhand,48,25,0
25-04-2020,Himachal Pradesh,40,18,1
25-04-2020,Chhattisgarh,36,30,0
25-04-2020,Assam,36,19,1
25-04-2020,Chandigarh,28,15,0
25-04-2020,Andaman and Nicobar Islands,27,11,0
25-04-2020,Ladakh,20,14,0
25-04-2020,Meghalaya,12,0,1
25-04-2020,Puducherry,7,3,0
25-04-2020,Goa,7,7,0
25-04-2020,Manipur,2,2,0
25-04-2020,Tripura,2,1,0
25-04-2020,Mizoram,1,0,0
25-04-2020,Arunachal Pradesh,1,1,0
26-04-2020,Maharashtra,7628,1076,323
26-04-2020,Gujarat,3071,282,133
26-04-2020,Delhi,2625,869,54
26-04-2020,Madhya Pradesh,2096,210,99
26-04-2020,Rajasthan,2083,493,33
26-04-2020,Uttar Pradesh,1843,289,29
26-04-2020,Tamil Nadu,1821,960,23
26-04-2020,Andhra Pradesh,1097,231,31
26-04-2020,Telangana,991,280,26
26-04-2020,West Bengal,611,105,18
26-04-2020,Karnataka,501,177,18
26-04-2020,Jammu and Kashmir,494,112,6
26-04-2020,Kerala,458,338,4
26-04-2020,Punjab,298,67,17
26-04-2020,Haryana,289,176,3
26-04-2020,Bihar,251,46,2
26-04-2020,Odisha,103,34,1
26-04-2020,Jharkhand,67,13,3
26-04-2020,Uttarakhand,50,26,0
26-04-2020,Himachal Pradesh,40,22,1
26-04-2020,Chhattisgarh,37,32,0
26-04-2020,Assam,36,19,1
26-04-2020,Andaman and Nicobar Islands,33,11,0
26-04-2020,Chandigarh,30,17,0
26-04-2020,Ladakh,20,14,0
26-04-2020,Meghalaya,12,0,1
26-04-2020,Puducherry,7,3,0
26-04-2020,Goa,7,7,0
26-04-2020,Manipur,2,2,0
26-04-2020,Tripura,2,2,0
26-04-2020,Mizoram,1,0,0
26-04-2020,Arunachal Pradesh,1,1,0
27-04-2020,Maharashtra,8068,1188,342
27-04-2020,Gujarat,3301,313,151
27-04-2020,Delhi,2918,877,54
27-04-2020,Rajasthan,2185,518,41
27-04-2020,Madhya Pradesh,2168,302,106
27-04-2020,Uttar Pradesh,1955,335,31
27-04-2020,Tamil Nadu,1885,1020,24
27-04-2020,Andhra Pradesh,1177,235,31
27-04-2020,Telangana,1002,280,26
27-04-2020,West Bengal,649,105,20
27-04-2020,Jammu and Kashmir,523,137,6
27-04-2020,Karnataka,511,188,20
27-04-2020,Kerala,469,342,4
27-04-2020,Punjab,313,71,18
27-04-2020,Haryana,289,176,3
27-04-2020,Bihar,277,56,2
27-04-2020,Odisha,108,35,1
27-04-2020,Jharkhand,82,13,3
27-04-2020,Uttarakhand,51,33,0
27-04-2020,Himachal Pradesh,40,22,1
27-04-2020,Chhattisgarh,37,32,0
27-04-2020,Assam,36,27,1
27-04-2020,Andaman and Nicobar Islands,33,11,0
27-04-2020,Chandigarh,30,17,0
27-04-2020,Ladakh,20,14,0
27-04-2020,Meghalaya,12,0,1
27-04-2020,Puducherry,8,3,0
27-04-2020,Goa,7,7,0
27-04-2020,Manipur,2,2,0
27-04-2020,Tripura,2,2,0
27-04-2020,Mizoram,1,0,0
27-04-2020,Arunachal Pradesh,1,1,0
28-04-2020,Maharashtra,8590,1282,369
28-04-2020,Gujarat,3548,394,162
28-04-2020,Delhi,3108,877,54
28-04-2020,Madhya Pradesh,2368,361,113
28-04-2020,Rajasthan,2262,669,46
28-04-2020,Uttar Pradesh,2043,400,31
28-04-2020,Tamil Nadu,1937,1101,24
28-04-2020,Andhra Pradesh,1259,258,31
28-04-2020,Telangana,1004,321,26
28-04-2020,West Bengal,697,109,20
28-04-2020,Jammu and Kashmir,546,164,7
28-04-2020,Karnataka,520,198,20
28-04-2020,Kerala,482,355,4
28-04-2020,Bihar,346,57,2
28-04-2020,Punjab,313,71,18
28-04-2020,Haryana,296,183,3
28-04-2020,Odisha,118,37,1
28-04-2020,Jharkhand,103,17,3
28-04-2020,Uttarakhand,51,33,0
28-04-2020,Chandigarh,40,17,0
28-04-2020,Himachal Pradesh,40,22,1
28-04-2020,Assam,38,27,1
28-04-2020,Chhattisgarh,37,32,0
28-04-2020,Andaman and Nicobar Islands,33,11,0
28-04-2020,Ladakh,22,16,0
28-04-2020,Meghalaya,12,0,1
28-04-2020,Puducherry,8,3,0
28-04-2020,Goa,7,7,0
28-04-2020,Manipur,2,2,0
28-04-2020,Tripura,2,2,0
28-04-2020,Mizoram,1,0,0
28-04-2020,Arunachal Pradesh,1,1,0
